,question_title,question_type
0,What are metaclasses in Python?,0
1,Hidden features of Python,0
2,"What is the effect of extern ""C"" in C++?",0
3,When should I use Cross Apply over Inner Join?,0
4,Embedding Base64 Images,0
5,What do Clustered and Non clustered index actually mean?,0
6,What is the difference between @staticmethod and @classmethod in Python?,0
7,What are bitwise shift (bit-shift) operators and how do they work?,0
8,"What does ""connection reset by peer"" mean?",0
9,When to use self over $this?,0
10,What are the differences between type() and isinstance()?,0
11,What's the difference between a method and a function?,0
12,"What is the ""-->"" operator in C++?",0
13,What is a bus error?,0
14,Why can't I use background image and color together?,0
15,When to use margin vs padding in CSS,0
16,JavaScript isset() equivalent,0
17,"How does ""cat << EOF"" work in bash?",0
18,CSS Font Border?,0
19,What issues should be considered when overriding equals and hashCode in Java?,0
20,Regular cast vs. static_cast vs. dynamic_cast,0
21,open() in Python does not create a file if it doesn't exist,0
22,What is the difference between POST and GET?,0
23,How can I check if a URL exists via PHP?,1
24,Java tree data-structure?,0
25,What is the Difference Between Mercurial and Git?,0
26,What is the argument for printf that formats a long?,0
27,Why use def main()?,0
28,What is console.log?,0
29,When to use virtual destructors?,0
30,"What is a plain English explanation of ""Big O"" notation?",0
31,"""implements Runnable"" vs. ""extends Thread""",0
32,How do I enumerate an enum?,1
33,Object comparison in JavaScript,1
34,Get day of week in SQL 2005/2008,1
35,Best approach to remove time part of datetime in SQL Server,1
36,How to do associative array/hashing in JavaScript,1
37,How do I pull from a Git repository through an HTTP proxy?,1
38,"How can I get jQuery to perform a synchronous, rather than asynchronous, Ajax request?",1
39,How do I get time of a Python program's execution?,1
40,Increase heap size in Java,1
41,Access-Control-Allow-Origin Multiple Origin Domains?,1
42,What's a quick way to comment/uncomment lines in Vim?,1
43,Redefine tab as 4 spaces,1
44,Parsing JSON with Unix tools,1
45,How to list the properties of a JavaScript object?,1
46,How do I split a string with any whitespace chars as delimiters?,1
47,Random string generation with upper case letters and digits in Python,1
48,How to short circuit Array.forEach like calling break?,1
49,Sort Multi-dimensional Array by Value,1
50,Run cURL commands from Windows console,1
51,Regex for numbers only,1
52,How to change background color in android app,1
53,How do you printf an unsigned long long int(the format specifier for unsigned long long int)?,1
54,"Python, Matplotlib, subplot: How to set the axis range?",1
55,How to import CSV file data into a PostgreSQL table?,1
56,"How do I create a message box with ""Yes"", ""No"" choices and a DialogResult?",1
57,How do you split a list into evenly sized chunks?,1
58,How do you give a C# Auto-Property a default value?,1
59,Insert into a MySQL table or update if exists,1
60,How do you extract POST data in Node.js?,1
61,How do you get the index of the current iteration of a foreach loop?,1
62,Write a number with two decimal places SQL server,1
63,"How to fix ""The ConnectionString property has not been initialized""",2
64,How do you remove an invalid remote branch reference from Git?,2
65,Column name or number of supplied values does not match table definition,2
66,SQL Server IF NOT EXISTS Usage?,2
67,ssl_error_rx_record_too_long and Apache SSL,2
68,long long in C/C++,2
69,How to append a char to a std::string?,2
70,Rethrowing exceptions in Java without losing the stack trace,2
71,"Cannot resolve the collation conflict between ""SQL_Latin1_General_CP1_CI_AS"" and ""Latin1_General_CI_AS"" in the equal to operation",2
72,How to Find the Default Charset/Encoding in Java?,2
73,How do I insert datetime value into a SQLite database?,2
74,Oracle ORA-12154: TNS: Could not resolve service name Error?,2
75,Why did Servlet.service() for servlet jsp throw this exception?,2
76,Variable might not have been initialized error,2
77,preventDefault() on an  tag,2
78,SSL received a record that exceeded the maximum permissible length.,2
79,UTL_FILE.FOPEN() procedure not accepting path for directory?,2
80,"Python Error: ""ValueError: need more than 1 value to unpack""",2
81,PDOException Ã©ÂÂ¥Ã¦Â¸Âould not find driverÃ©Â?,2
82,"What is the ""right"" way to iterate through an array in Ruby?",0
83,How do I remove packages installed with Python's easy_install?,1
84,Downloading a picture via urllib and python,2
85,IF EXIST C:\directory\ goto a else goto b problems windows XP batch files,2
86,"Getting ""type or namespace name could not be found"" but everything seems ok?",2
87,'console' is undefined error for Internet Explorer,2
88,Could not locate Gemfile,2
89,Why am I getting a NoClassDefFoundError in Java?,2
90,How do I fix a NoSuchMethodError?,2
91,Negative matching using grep (match lines that do not contain foo),2
92,Error installing mysql2: Failed to build gem native extension,2
93,Script not served by static file handler on IIS7.5,2
94,Maximum request length exceeded.,2
